0,0,0.020421,-0.71911,-0.003474,-0.694588,1.472207,0.089793,2.189894,0.000322,-0.004747,0.011325,0.000405,0.999925,-0.924299,0.05618,0.404611,0.002327,-0.000322,-0.000035,-0.000214,-1,0.03485,0.049475,-0.745677,0.000165,0.000182,0.000143,0.000426,-1,0.951995,0.051454,0.395325,0.000037,,0,0,0
1,0.008333,0.020204,-0.718962,-0.004347,-0.694742,1.472185,0.089803,2.189875,0.000299,-0.004976,0.011309,0.000555,0.999924,-0.924306,0.056188,0.404566,0.002345,-0.00062,-0.000096,-0.000133,-1,0.034822,0.049523,-0.745702,0.000161,-0.000005,0.000023,0.000298,-1,0.951982,0.051488,0.395281,0.000056,,-7E-06,8E-06,-4.5E-05
2,0.016667,0.020196,-0.718972,-0.004543,-0.694731,1.472224,0.089719,2.189887,0.000287,-0.004627,0.011381,0.000507,0.999924,-0.924292,0.056193,0.404557,0.002349,-0.000819,-0.00009,-0.000107,-1,0.034825,0.049528,-0.745703,0.000172,0.000172,0.00014,0.000156,-1,0.951988,0.051474,0.395277,0.000071,,7E-06,1.3E-05,-5.4E-05
3,0.025,0.021112,-0.718963,-0.00381,-0.694717,1.472309,0.089635,2.189913,0.000301,-0.004072,0.011449,0.000524,0.999926,-0.924276,0.056161,0.404569,0.002362,-0.000892,0.00001,-0.000013,-1,0.034831,0.049506,-0.745692,0.000183,-0.002128,-0.0017,0.001175,-0.999996,0.95194,0.051338,0.395046,0.000235,,2.3E-05,-1.9E-05,-4.2E-05
4,0.033333,0.021369,-0.71911,-0.003843,-0.694557,1.472335,0.0896,2.18994,0.00035,-0.00404,0.01133,0.000527,0.999928,-0.924271,0.056135,0.40462,0.002354,-0.000732,0.000051,-0.000043,-1,0.034857,0.049457,-0.745672,0.000192,-0.002065,-0.001754,0.00119,-0.999996,0.95196,0.051312,0.395069,0.000238,,2.8E-05,-4.5E-05,9E-06
5,0.041667,0.020681,-0.719121,-0.004349,-0.694563,1.472316,0.089603,2.189941,0.00033,-0.003812,0.01123,0.000545,0.99993,-0.924281,0.0561,0.40462,0.002349,-0.000779,-0.000014,-0.000075,-1,0.034873,0.049425,-0.745689,0.000205,-0.001972,-0.001849,0.001108,-0.999996,0.95196,0.051299,0.395068,0.000248,,1.8E-05,-8E-05,9E-06
6,0.05,0.020673,-0.719089,-0.004137,-0.694598,1.472273,0.089663,2.189928,0.000317,-0.00416,0.011268,0.000451,0.999928,-0.924297,0.056086,0.404625,0.002324,-0.000232,-0.000007,-0.000147,-1,0.034856,0.049418,-0.74569,0.00018,0.000233,-0.000018,0.00034,-1,0.952019,0.051391,0.395332,0.000048,,2E-06,-9.4E-05,1.4E-05
7,0.058333,0.020268,-0.719015,-0.004287,-0.694686,1.47223,0.089737,2.189914,0.000293,-0.004614,0.011222,0.000392,0.999926,-0.92431,0.056105,0.404609,0.002306,-0.00049,-0.000005,-0.000145,-1,0.034835,0.049456,-0.745672,0.000173,0.000179,0.000033,0.000453,-1,0.951988,0.051425,0.395324,0.000046,,-1.1E-05,-7.5E-05,-2E-06
8,0.066667,0.020135,-0.719,-0.003814,-0.694708,1.472195,0.089773,2.189909,0.000309,-0.004582,0.01135,0.000486,0.999925,-0.924298,0.056164,0.404599,0.002342,-0.000522,-0.000039,-0.000136,-1,0.034816,0.049486,-0.745674,0.000173,0.000147,0.000153,0.000416,-1,0.951967,0.051456,0.395326,0.000048,,1E-06,-1.6E-05,-1.2E-05
9,0.075,0.020337,-0.718876,-0.004035,-0.694829,1.47219,0.08973,2.189919,0.00029,-0.004753,0.011393,0.000531,0.999924,-0.924296,0.056145,0.404612,0.002331,-0.000885,-0.000024,-0.00006,-1,0.034823,0.049503,-0.745672,0.000172,0.000108,0.000097,0.000338,-1,0.951983,0.051445,0.395318,0.000057,,3E-06,-3.5E-05,1E-06
10,0.083333,0.020524,-0.719049,-0.003961,-0.694645,1.472257,0.089671,2.189929,0.00032,-0.004208,0.011436,0.000426,0.999926,-0.924285,0.056132,0.404598,0.002337,-0.001002,-0.000036,-0.000067,-1,0.034834,0.049485,-0.745662,0.000184,0.00029,0.000105,0.00022,-1,0.95199,0.051434,0.395304,0.000089,,1.4E-05,-4.8E-05,-1.3E-05
11,0.091667,0.020971,-0.718884,-0.004325,-0.6948,1.472301,0.089599,2.189926,0.000318,-0.003865,0.011384,0.000482,0.999928,-0.924272,0.056124,0.404627,0.002338,-0.001021,0.000016,-0.00011,-1,0.034871,0.049467,-0.745648,0.000199,-0.00213,-0.001685,0.00125,-0.999996,0.951942,0.051298,0.395061,0.000227,,2.7E-05,-5.6E-05,1.6E-05
12,0.1,0.020965,-0.719058,-0.0045,-0.694619,1.472317,0.089626,2.189942,0.000345,-0.004109,0.011382,0.000461,0.999927,-0.924256,0.05614,0.404627,0.002345,-0.000893,0.000045,-0.000104,-1,0.034877,0.049448,-0.745635,0.000198,-0.002009,-0.001749,0.001209,-0.999996,0.95194,0.051335,0.395077,0.00022,,4.3E-05,-4E-05,1.6E-05
